Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
2015-01-19;19:00:00;2,2;998;-200;7;858;256;770;135;1109;857;8,6;53,6;0,5992
2015-01-19;20:00:00;2,3;1061;-200;9,6;962;257;721;141;1167;942;9;50,4;0,5809
2015-01-19;21:00:00;2,6;1016;-200;7,8;892;317;758;141;1109;945;9,2;49,8;0,5808
2015-01-19;22:00:00;1,1;859;-200;2,4;611;135;1053;95;918;562;8,8;52,1;0,5918
2015-01-19;23:00:00;1,2;945;-200;3,9;707;159;963;97;1005;657;8,8;50,9;0,5781
2015-01-20;00:00:00;1,8;937;-200;4,1;715;186;896;112;995;723;8,7;51,1;0,5755
2015-01-20;01:00:00;1,1;876;-200;2,5;618;102;1032;74;948;555;8,6;51,5;0,5772
2015-01-20;02:00:00;0,9;831;-200;1,3;530;75;1169;62;893;472;8,5;51,9;0,5766
2015-01-20;03:00:00;0,7;828;-200;1,2;514;-200;1205;-200;880;434;8,1;53,1;0,5742
2015-01-20;04:00:00;0,6;810;-200;0,7;470;41;1315;40;863;412;7,8;54,2;0,5755
2015-01-20;05:00:00;0,6;822;-200;0,9;493;50;1278;45;876;453;7,1;56;0,569
2015-01-20;06:00:00;0,9;898;-200;2,9;646;189;1013;93;954;702;7;57,6;0,5784
2015-01-20;07:00:00;1;909;-200;2,7;636;182;992;104;947;720;7,5;55,3;0,5734
2015-01-20;08:00:00;3,4;1256;-200;14,4;1130;636;616;162;1316;1311;7;56,3;0,566
2015-01-20;09:00:00;4,2;1298;-200;17,2;1217;704;552;169;1409;1444;7,6;53,5;0,5605
2015-01-20;10:00:00;4,4;1326;-200;17,4;1223;854;547;190;1381;1613;8,3;50,5;0,5558
2015-01-20;11:00:00;2,9;1139;-200;11,5;1031;652;649;170;1181;1388;12,4;37,1;0,5329
2015-01-20;12:00:00;2,6;1135;-200;11,9;1047;529;641;151;1175;1379;13,9;32,3;0,5117
2015-01-20;13:00:00;2,6;1117;-200;12,6;1071;438;638;150;1178;1289;14,4;28,9;0,4723
2015-01-20;14:00:00;3;1094;-200;14,3;1128;438;626;154;1191;1280;14,8;25,4;0,4259
2015-01-20;15:00:00;2,3;982;-200;10,3;990;378;745;140;1018;1059;15,1;20,8;0,3536
2015-01-20;16:00:00;3;1107;-200;14,5;1134;482;639;167;1172;1299;15,4;23,5;0,4076
2015-01-20;17:00:00;4,5;1290;-200;21,9;1349;709;534;204;1386;1638;13,7;28,1;0,4381
2015-01-20;18:00:00;6;1445;-200;28,5;1516;796;455;210;1594;1946;11,5;37,5;0,5068
2015-01-20;19:00:00;4,3;1357;-200;21,2;1330;605;511;182;1414;1798;10,4;42,3;0,5337
2015-01-20;20:00:00;3,4;1248;-200;16;1179;472;577;165;1259;1609;9,9;44;0,5381
2015-01-20;21:00:00;2,8;1220;-200;13;1085;411;618;150;1205;1531;8,7;48,3;0,5458
2015-01-20;22:00:00;2,1;1137;-200;7;856;264;758;132;1032;1338;8,1;49,9;0,5417
2015-01-20;23:00:00;1,7;1102;-200;6,4;829;217;773;120;1015;1274;7,3;52,8;0,5419
2015-01-21;00:00:00;1,8;1082;-200;5,8;801;211;780;119;1035;1200;8;52,2;0,5623
2015-01-21;01:00:00;1,6;1053;-200;5,6;795;179;786;110;1039;1143;6,8;56,4;0,5609
2015-01-21;02:00:00;1,4;1003;-200;4,5;740;135;847;94;992;1048;6,7;57,4;0,5654
2015-01-21;03:00:00;1,3;1019;-200;4,6;744;-200;836;-200;1000;1049;5,9;62,1;0,5806
2015-01-21;04:00:00;-200;1071;-200;5,9;808;221;757;101;1046;1172;5,4;65,9;0,5947
2015-01-21;05:00:00;1,3;1118;-200;6,6;841;284;702;117;1056;1368;5,5;66,5;0,6054
2015-01-21;06:00:00;1,6;1206;-200;9,2;948;357;628;121;1129;1540;5,9;65,8;0,6178
2015-01-21;07:00:00;2,4;1256;-200;12,2;1056;469;582;138;1230;1575;6,4;63,9;0,6192
2015-01-21;08:00:00;4,5;1501;-200;22,6;1367;766;465;174;1558;1856;7,2;62,2;0,6351
2015-01-21;09:00:00;5,7;1578;-200;29;1527;875;419;179;1761;2086;7,9;60;0,6406
2015-01-21;10:00:00;4,3;1427;-200;19,4;1280;800;500;175;1481;1948;8,3;58,5;0,6403
2015-01-21;11:00:00;4,2;1440;-200;20,5;1311;815;482;183;1476;2022;9,3;54,5;0,6415
2015-01-21;12:00:00;4,5;1522;-200;22,5;1365;841;464;189;1526;2104;10,2;53,1;0,6608
2015-01-21;13:00:00;5;1517;-200;24;1403;827;451;198;1579;2195;11,1;51,4;0,679
2015-01-21;14:00:00;2,9;1300;-200;13,9;1113;402;573;142;1291;1845;12,8;46,9;0,6919
2015-01-21;15:00:00;3;1401;-200;16,8;1204;415;526;139;1401;1947;13,1;48;0,7181
2015-01-21;16:00:00;3,3;1551;-200;20,2;1303;435;469;99;1520;2171;13,5;51,5;0,793
2015-01-21;17:00:00;1,4;1411;-200;16,4;1191;570;519;135;1426;1920;13,4;51,2;0,7808
2015-01-21;18:00:00;2,3;1434;-200;18;1239;530;506;223;1458;1835;12,1;55,3;0,7777
2015-01-21;19:00:00;1,6;1489;-200;20,3;1305;617;476;194;1547;1919;12;56,5;0,7924
2015-01-21;20:00:00;4,9;1835;-200;38,1;1731;983;355;244;2083;2254;10,4;64,4;0,8123
2015-01-21;21:00:00;6,4;1804;-200;35,7;1679;1200;370;243;2015;2210;9,4;69,1;0,815
2015-01-21;22:00:00;3,5;1579;-200;21,8;1345;1028;459;230;1608;1961;8,9;71;0,8115
2015-01-21;23:00:00;1,7;1508;-200;18,2;1246;797;496;207;1498;1791;8,1;73,8;0,7968
2015-01-22;00:00:00;2,6;1535;-200;20,1;1300;977;483;223;1524;1725;7,3;76,8;0,7904
2015-01-22;01:00:00;1,6;1395;-200;14,4;1131;811;552;216;1362;1553;7,3;76,7;0,7862
2015-01-22;02:00:00;1,5;1392;-200;15,1;1153;757;542;198;1395;1506;7,1;77,3;0,7826
2015-01-22;03:00:00;0,9;1326;-200;13,1;1087;-200;571;-200;1333;1398;6,7;78,7;0,7779
2015-01-22;04:00:00;0,5;1297;-200;11,5;1032;388;605;126;1297;1300;7;77,8;0,7848
2015-01-22;05:00:00;0,9;1331;-200;13,7;1106;497;568;144;1322;1383;5,7;80,5;0,7416
2015-01-22;06:00:00;0,4;1288;-200;11,6;1036;582;590;183;1242;1413;5,2;81,4;0,7276
2015-01-22;07:00:00;0,5;1322;-200;13,2;1091;574;565;193;1307;1471;5,6;80,4;0,7349
2015-01-22;08:00:00;0,8;1390;-200;15,6;1167;588;522;196;1392;1619;6,3;78,8;0,7544
2015-01-22;09:00:00;1,4;1443;-200;16,9;1207;645;502;208;1431;1673;6,9;76,9;0,7682
2015-01-22;10:00:00;1,6;1496;-200;18,5;1254;643;484;217;1472;1881;9,2;67,7;0,79
2015-01-22;11:00:00;1,5;1439;-200;16,6;1198;628;502;246;1426;1877;11,6;59,8;0,8152
2015-01-22;12:00:00;1;1432;-200;15;1150;547;527;204;1393;1818;14;52;0,8288
2015-01-22;13:00:00;1;1398;-200;15;1149;461;535;192;1417;1699;15;50,2;0,8495
2015-01-22;14:00:00;1,3;1380;-200;16,9;1206;455;515;186;1500;1677;14,9;49,9;0,8394
2015-01-22;15:00:00;0,1;1022;-200;7;857;244;770;133;1068;1088;15,8;33,8;0,6034
2015-01-22;16:00:00;-200;973;-200;5,9;806;202;851;126;994;926;15,4;29,3;0,5068
2015-01-22;17:00:00;-200;951;-200;7,1;862;256;823;138;972;961;14,4;25,7;0,4193
2015-01-22;18:00:00;0,1;987;-200;8,6;925;310;776;148;1016;1066;13,4;27,2;0,4157
2015-01-22;19:00:00;0,4;1100;-200;12,2;1057;391;687;167;1126;1241;12,2;28,7;0,4077
2015-01-22;20:00:00;0,7;1064;-200;12,6;1072;444;704;175;1103;1220;11,3;25,7;0,3422
2015-01-22;21:00:00;2,7;1316;-200;21,1;1327;794;549;224;1328;1613;9,7;31,9;0,3848
2015-01-22;22:00:00;2,1;1262;-200;16,9;1208;716;587;215;1219;1577;8,4;36,5;0,4035
2015-01-22;23:00:00;1,3;1259;-200;15,1;1152;565;610;196;1165;1569;8,2;36,8;0,4016
2015-01-23;00:00:00;0,8;1166;-200;10,1;981;451;697;195;993;1445;8;36;0,3872
2015-01-23;01:00:00;-200;1066;-200;7,5;880;313;784;181;946;1240;7;39,9;0,4006
2015-01-23;02:00:00;-200;1051;-200;7,6;883;241;783;150;978;1169;5,7;44,3;0,4093
2015-01-23;03:00:00;-200;992;-200;5,9;808;-200;849;-200;926;1052;4,7;46,6;0,4025
2015-01-23;04:00:00;-200;969;-200;5,5;788;224;854;139;938;1006;4,2;50,8;0,4234
2015-01-23;05:00:00;-200;862;-200;2,3;609;82;1101;74;810;757;4,6;45,1;0,3861
2015-01-23;06:00:00;-200;859;-200;2;581;89;1112;73;829;753;2,7;53,3;0,4006
2015-01-23;07:00:00;-200;849;-200;1,6;552;93;1165;77;812;737;3,1;51;0,3947
2015-01-23;08:00:00;-200;879;-200;2,1;594;134;1119;98;839;792;2,5;54,1;0,4017
2015-01-23;09:00:00;-200;956;-200;4,4;735;189;915;121;942;945;3,1;53,5;0,4123
2015-01-23;10:00:00;-200;1039;-200;6,4;828;292;791;162;987;1115;5;47,5;0,418
2015-01-23;11:00:00;-200;1066;-200;7,3;871;326;775;178;996;1131;5,8;43,4;0,4032
2015-01-23;12:00:00;-200;1124;-200;8,7;927;397;722;206;1047;1242;7,1;42,8;0,4327
2015-01-23;13:00:00;-200;1160;-200;9,2;948;371;712;191;1072;1289;7,9;41,6;0,4459
2015-01-23;14:00:00;-200;1110;-200;7,9;896;305;737;175;1040;1276;8,1;41,2;0,448
2015-01-23;15:00:00;-200;1138;-200;9;940;328;706;169;1088;1359;8,3;41,3;0,4533
2015-01-23;16:00:00;-200;1095;-200;7;857;281;756;180;1075;1020;8,9;49,1;0,5629
2015-01-23;17:00:00;-200;1045;-200;3,7;694;168;911;124;1025;805;7,1;66;0,6678
2015-01-23;18:00:00;-200;1078;-200;4,3;727;183;849;130;1057;857;5,7;75,1;0,6942
2015-01-23;19:00:00;-200;1169;-200;6,8;846;217;767;141;1157;942;5,4;77,6;0,7031
2015-01-23;20:00:00;-200;1174;-200;8,7;926;245;674;157;1220;1020;5,4;78,2;0,7074
2015-01-23;21:00:00;-200;1075;-200;4,7;749;154;827;123;1050;899;7,3;68,1;0,6979
2015-01-23;22:00:00;-200;1044;-200;3,5;685;141;903;104;1042;860;5,8;74,4;0,6924
2015-01-23;23:00:00;-200;1110;-200;5,4;782;210;798;134;1101;954;6,2;72,3;0,6887
2015-01-24;00:00:00;-200;1086;-200;4,4;733;140;848;105;1064;883;5,9;72,7;0,6791
2015-01-24;01:00:00;-200;1092;-200;6;811;191;773;121;1129;966;5;76,5;0,6728
2015-01-24;02:00:00;0,1;1127;-200;7,6;884;248;704;136;1173;983;4;80,4;0,663
2015-01-24;03:00:00;-200;881;-200;1,9;578;-200;1017;-200;876;607;5,8;59;0,5493
2015-01-24;04:00:00;-200;831;-200;1;498;50;1237;48;855;443;5,8;59,5;0,5519
2015-01-24;05:00:00;0,3;791;-200;0,6;459;43;1421;40;809;390;6,6;51,3;0,5026
2015-01-24;06:00:00;0,5;836;-200;1,2;520;86;1296;67;832;479;7;47,2;0,4745
2015-01-24;07:00:00;0,6;907;-200;2,9;644;152;1028;104;902;732;6,6;47,9;0,4686
2015-01-24;08:00:00;1,8;1174;-200;11,1;1018;341;688;169;1210;1149;7,2;49,8;0,5061
2015-01-24;09:00:00;2;1094;-200;9,7;967;355;682;203;1147;1136;6,9;52,8;0,5293
2015-01-24;10:00:00;1,4;992;-200;5,7;800;327;797;183;1007;934;8,7;46,7;0,5249
2015-01-24;11:00:00;0,6;955;-200;5,4;783;240;844;151;976;845;10;40,6;0,4971
2015-01-24;12:00:00;0,5;959;-200;5,1;771;217;852;138;975;808;11,8;35,4;0,4877
2015-01-24;13:00:00;0,7;981;-200;5,8;804;191;829;127;997;783;10,7;37,2;0,4788
2015-01-24;14:00:00;0,7;947;-200;5,6;791;-200;825;-200;963;785;10,9;34,9;0,456
2015-01-24;15:00:00;1,1;1023;-200;8;898;256;759;148;1034;899;10,7;33,1;0,4256
2015-01-24;16:00:00;1,3;1009;-200;7,1;860;287;787;172;993;922;10,6;34,2;0,4375
2015-01-24;17:00:00;1;1007;-200;7,6;884;278;780;163;1014;951;8,9;38,1;0,4341
2015-01-24;18:00:00;1,5;1054;-200;10,4;992;302;715;180;1092;1051;7,8;39,7;0,4206
2015-01-24;19:00:00;1,5;1018;-200;8,9;934;259;740;169;1014;967;7,3;42,2;0,4341
2015-01-24;20:00:00;1,2;976;-200;7,3;870;221;795;152;971;861;6,9;42,5;0,4257
2015-01-24;21:00:00;0,3;872;-200;3,6;689;142;970;107;866;631;6,6;43,2;0,4247
2015-01-24;22:00:00;-200;805;-200;1,7;559;93;1183;75;781;466;6,4;41,7;0,4034
2015-01-24;23:00:00;-200;800;-200;1,5;541;71;1250;58;779;407;6,1;42,6;0,4041
2015-01-25;00:00:00;-200;785;-200;1;504;66;1306;57;760;387;5,9;41,8;0,3928
2015-01-25;01:00:00;-200;757;-200;0,6;459;49;1447;44;735;337;5,7;41,5;0,3836
2015-01-25;02:00:00;-200;751;-200;0,4;424;29;1583;29;726;303;5,5;42,4;0,3867
2015-01-25;03:00:00;-200;766;-200;0,3;412;-200;1651;-200;763;295;4,5;52;0,4436
2015-01-25;04:00:00;-200;759;-200;0,2;399;19;1696;19;749;288;4,3;51,6;0,4323
2015-01-25;05:00:00;-200;758;-200;0,2;388;20;1785;20;765;274;3,7;56,3;0,453
2015-01-25;06:00:00;-200;761;-200;0,1;383;39;1745;35;787;289;3,3;58,1;0,4559
2015-01-25;07:00:00;-200;762;-200;0,4;434;77;1556;60;763;318;3,9;47,3;0,3862
2015-01-25;08:00:00;0,2;869;-200;2,9;646;180;1068;115;876;476;4,3;45,9;0,3843
2015-01-25;09:00:00;0,7;938;-200;5,4;785;243;853;157;969;704;4,2;50,1;0,4168
2015-01-25;10:00:00;0,5;951;-200;5,1;769;236;856;147;1000;735;3,4;62,7;0,4943
2015-01-25;11:00:00;0,4;892;-200;3,8;702;297;935;188;924;735;5;51,4;0,4534
2015-01-25;12:00:00;0,3;876;-200;3,9;703;235;968;126;892;653;5,7;44,1;0,4063
2015-01-25;13:00:00;0,3;872;-200;3,6;686;186;972;114;880;603;5,2;44,5;0,3968
2015-01-25;14:00:00;0,4;893;-200;4,2;722;196;932;123;917;645;4,7;48,6;0,4194
2015-01-25;15:00:00;0,2;879;-200;3,6;687;167;980;107;914;564;4,5;51;0,4327
2015-01-25;16:00:00;0,4;896;-200;3,6;689;211;966;121;909;614;5,1;50,1;0,4432
2015-01-25;17:00:00;0,4;909;-200;3,9;706;194;928;118;923;658;5;50,4;0,443
2015-01-25;18:00:00;0,7;958;-200;4,9;758;206;858;134;985;719;4,3;56,4;0,4721
2015-01-25;19:00:00;1;984;-200;5,8;803;211;813;142;1012;772;4,3;56,7;0,476
2015-01-25;20:00:00;1,1;991;-200;6,1;814;197;790;133;1040;812;4,3;57;0,4771
2015-01-25;21:00:00;0,3;881;-200;2,8;638;139;990;106;910;583;3,5;60,3;0,4782
2015-01-25;22:00:00;0,1;853;-200;2,4;616;113;1071;87;870;491;4,1;52,5;0,4351
2015-01-25;23:00:00;-200;804;-200;1,5;546;81;1194;67;796;400;3,9;50,6;0,4127
2015-01-26;00:00:00;-200;788;-200;1,1;514;63;1285;55;771;354;3,9;47,7;0,3901
2015-01-26;01:00:00;-200;788;-200;0,9;487;55;1346;49;769;329;4;47,8;0,3939
2015-01-26;02:00:00;-200;763;-200;0,4;428;31;1532;30;757;296;3,9;50,9;0,4144
2015-01-26;03:00:00;-200;771;-200;0,3;410;-200;1622;-200;765;283;3;57,7;0,4423
2015-01-26;04:00:00;-200;747;-200;0,2;390;20;1775;20;738;266;3,3;52,8;0,4137
2015-01-26;05:00:00;-200;744;-200;0,1;383;17;1881;17;720;253;2,7;53,9;0,4062
2015-01-26;06:00:00;-200;774;-200;0,5;441;42;1646;35;760;282;2,8;54,4;0,411
2015-01-26;07:00:00;-200;800;-200;0,9;492;90;1310;71;783;353;3,6;49;0,3915
2015-01-26;08:00:00;0,3;896;-200;3,3;668;227;1043;136;887;519;3,3;50,2;0,3934
2015-01-26;09:00:00;0,6;913;-200;4,4;733;250;902;163;901;681;3,5;47,5;0,3778
2015-01-26;10:00:00;0,3;871;-200;2,8;638;219;1022;143;860;583;4,3;49,4;0,4136
2015-01-26;11:00:00;0,1;872;-200;3,2;662;211;1007;134;874;628;4,5;48,4;0,4131
2015-01-26;12:00:00;0,1;858;-200;2,7;634;189;1053;130;868;566;4,3;50;0,4199
2015-01-26;13:00:00;0,2;876;-200;3,5;683;180;993;122;894;572;4,3;49,7;0,4166
2015-01-26;14:00:00;0,5;900;-200;4,8;751;197;891;129;913;637;4,9;45,3;0,3955
2015-01-26;15:00:00;0,3;864;-200;3,4;678;198;987;132;866;579;5,6;42,4;0,3884
2015-01-26;16:00:00;0,3;902;-200;4,2;721;203;924;133;900;666;5,7;43,1;0,3984
2015-01-26;17:00:00;0,3;916;-200;4,2;720;188;912;126;922;707;4,8;49,7;0,4305
2015-01-26;18:00:00;1;1004;-200;8,5;918;294;752;177;1033;990;5,1;43;0,3821
2015-01-26;19:00:00;1,4;1024;-200;9,2;945;302;729;185;1073;1026;5,3;44,4;0,397
2015-01-26;20:00:00;1,4;1011;-200;7,6;884;261;763;169;1048;910;4,9;47,9;0,418
2015-01-26;21:00:00;1,1;1006;-200;6,2;822;232;794;151;1025;897;4,7;50,8;0,4398
2015-01-26;22:00:00;0,4;913;-200;2,9;645;154;966;114;922;651;4,6;54,8;0,4704
2015-01-26;23:00:00;0,2;905;-200;2,5;620;120;986;90;904;598;4;56,8;0,4688
2015-01-27;00:00:00;0,2;872;-200;2,6;628;117;1009;87;857;560;4,2;46,8;0,39
2015-01-27;01:00:00;0,2;843;-200;2,2;597;108;1059;83;808;527;4,5;42;0,3571
2015-01-27;02:00:00;0,2;863;-200;2,5;622;97;1025;74;826;574;4,1;42,1;0,3487
2015-01-27;03:00:00;-200;791;-200;0,8;480;-200;1259;-200;738;422;4,5;39,7;0,3379
2015-01-27;04:00:00;-200;769;-200;0,3;412;28;1481;28;727;326;4,4;42,2;0,3571
2015-01-27;05:00:00;0,4;778;-200;0,3;417;27;1531;26;745;312;4,1;45,9;0,3804
2015-01-27;06:00:00;0,5;801;-200;0,7;470;81;1313;61;762;382;4,3;42,5;0,3556
2015-01-27;07:00:00;0,7;827;-200;1,4;533;129;1198;91;775;488;4,6;38,1;0,3267
2015-01-27;08:00:00;1,9;1038;-200;6,6;837;336;822;184;972;915;4,6;39,4;0,3367
2015-01-27;09:00:00;2,4;1040;-200;8,4;917;335;739;204;1038;1021;4,8;41,9;0,3634
2015-01-27;10:00:00;2;980;-200;5,5;790;318;839;185;934;897;5,9;40,2;0,376
2015-01-27;11:00:00;1,3;912;-200;3,5;683;201;961;125;872;699;7;38,4;0,3861
2015-01-27;12:00:00;1;887;-200;3;649;166;1009;104;854;588;6,6;40,2;0,3944
2015-01-27;13:00:00;1,2;922;-200;4,1;716;192;930;115;893;643;6,6;41,2;0,4046
2015-01-27;14:00:00;1,5;928;-200;4,7;748;198;900;126;900;685;7,3;36,8;0,3779
2015-01-27;15:00:00;1,3;921;-200;4,5;736;198;921;125;881;673;7,3;35;0,3584
2015-01-27;16:00:00;1,5;905;-200;4,7;747;223;924;139;850;691;7;33,5;0,3367
2015-01-27;17:00:00;1,5;906;-200;5,1;769;224;913;142;865;726;6,5;32,4;0,3155
2015-01-27;18:00:00;2,1;981;-200;7,7;886;266;819;170;928;912;5,7;33,9;0,3131
2015-01-27;19:00:00;2,6;1053;-200;10,3;987;326;750;195;1025;1048;5;36,1;0,3178
2015-01-27;20:00:00;3;1086;-200;11,5;1032;343;717;202;1049;1136;4,7;38,3;0,3306
2015-01-27;21:00:00;2;967;-200;6;811;243;863;168;911;909;4,5;39,9;0,339
2015-01-27;22:00:00;1,4;902;-200;3,6;689;177;995;128;838;719;4,3;41,1;0,3451
2015-01-27;23:00:00;1,3;916;-200;4,3;725;155;953;115;855;746;4;43,1;0,3551
2015-01-28;00:00:00;1,2;895;-200;3,4;677;143;999;111;827;700;3,7;46;0,3701
2015-01-28;01:00:00;1,1;866;-200;2,4;613;124;1075;97;810;579;3,3;47,4;0,3716
2015-01-28;02:00:00;0,9;861;-200;2;585;94;1120;77;807;553;3;49,1;0,3774
2015-01-28;03:00:00;0,8;845;-200;1,4;534;-200;1146;-200;781;519;3,5;48;0,3822
2015-01-28;04:00:00;0,6;849;-200;1,2;522;56;1158;51;779;467;3,6;48;0,3835
2015-01-28;05:00:00;0,5;818;-200;0,9;486;58;1282;49;781;422;4;47,8;0,3919
2015-01-28;06:00:00;0,6;864;-200;1,6;554;105;1159;79;819;545;4,1;48,1;0,3975
2015-01-28;07:00:00;0,7;856;-200;1,7;559;122;1138;92;810;556;4,1;47,4;0,3926
2015-01-28;08:00:00;1,6;1024;-200;6,2;823;274;827;167;992;879;4,2;48,7;0,4073
2015-01-28;09:00:00;2,2;1050;-200;8,2;909;342;742;206;1055;993;4,1;49,8;0,4117
2015-01-28;10:00:00;1,8;984;-200;6,4;832;296;822;184;966;892;4,3;48,4;0,4043
2015-01-28;11:00:00;1,5;990;-200;5,9;808;279;838;176;975;901;4,6;49,7;0,4271
2015-01-28;12:00:00;1,8;970;-200;5,7;798;325;842;191;941;874;4,5;49,6;0,421
2015-01-28;13:00:00;1,4;943;-200;5,3;781;222;871;147;925;722;4,4;48,4;0,4087
2015-01-28;14:00:00;2,1;994;-200;7,3;871;279;793;174;997;836;4,7;47,2;0,4075
2015-01-28;15:00:00;1,6;932;-200;5,1;767;248;888;167;920;669;4,2;49,5;0,4118
2015-01-28;16:00:00;1,3;891;-200;3,9;706;193;949;138;860;600;3,4;50,7;0,3991
2015-01-28;17:00:00;1,9;-200;-200;-200;-200;256;-200;164;-200;-200;-200;-200;-200
2015-01-28;18:00:00;2,4;-200;-200;-200;-200;288;-200;190;-200;-200;-200;-200;-200
2015-01-28;19:00:00;3;-200;-200;-200;-200;300;-200;198;-200;-200;-200;-200;-200
2015-01-28;20:00:00;1,9;-200;-200;-200;-200;224;-200;155;-200;-200;-200;-200;-200
2015-01-28;21:00:00;1,8;-200;-200;-200;-200;219;-200;153;-200;-200;-200;-200;-200
2015-01-28;22:00:00;1,1;-200;-200;-200;-200;145;-200;110;-200;-200;-200;-200;-200
2015-01-28;23:00:00;1,1;-200;-200;-200;-200;115;-200;91;-200;-200;-200;-200;-200
2015-01-29;00:00:00;1,1;-200;-200;-200;-200;136;-200;105;-200;-200;-200;-200;-200
2015-01-29;01:00:00;1;-200;-200;-200;-200;107;-200;85;-200;-200;-200;-200;-200
2015-01-29;02:00:00;0,7;793;-200;0,8;480;70;1306;60;745;376;1,9;49,7;0,3528
2015-01-29;03:00:00;0,6;790;-200;0,6;455;-200;1376;-200;751;336;1,6;52,9;0,3692
2015-01-29;04:00:00;0,5;776;-200;0,5;445;37;1460;34;737;330;1,4;53,8;0,3687
2015-01-29;05:00:00;0,5;766;-200;0,5;448;33;1494;31;734;321;1;54,7;0,3657
2015-01-29;06:00:00;0,4;774;-200;0,6;458;43;1473;37;735;334;1,4;52,3;0,3591
2015-01-29;07:00:00;0,5;801;-200;0,9;494;73;1324;58;754;395;1,6;51;0,3561
2015-01-29;08:00:00;0,8;847;-200;2;586;125;1163;92;814;473;1,4;53,1;0,3642
2015-01-29;09:00:00;1,1;874;-200;2,8;641;154;1022;110;857;553;1,7;54,1;0,3785
2015-01-29;10:00:00;1,1;879;-200;2,8;642;140;1027;101;836;545;2,5;51;0,3778
2015-01-29;11:00:00;1,1;888;-200;3;652;150;1025;96;833;547;2,9;48,7;0,3706
2015-01-29;12:00:00;1,1;873;-200;2,4;610;139;1051;102;819;527;3,6;45,8;0,3674
2015-01-29;13:00:00;1,1;877;-200;2,5;618;135;1027;96;830;505;3,1;48,1;0,3722
2015-01-29;14:00:00;1,2;893;-200;3;653;152;987;102;845;550;3,4;46,6;0,3668
2015-01-29;15:00:00;1;866;-200;2,2;602;121;1071;88;809;465;3,7;45,8;0,3697
2015-01-29;16:00:00;1,2;873;-200;2,6;629;122;1049;87;817;467;4,4;43,7;0,3688
2015-01-29;17:00:00;1,3;911;-200;3,4;676;167;998;115;855;555;4;44,9;0,3689
2015-01-29;18:00:00;1,4;908;-200;3;653;165;980;118;847;551;3,3;46,8;0,3671
2015-01-29;19:00:00;1,3;907;-200;3,1;657;190;981;134;844;569;3,1;48,1;0,3707
2015-01-29;20:00:00;1,4;925;-200;3,4;678;176;960;125;861;594;2,8;49;0,37
2015-01-29;21:00:00;1,5;920;-200;2,9;649;196;983;140;849;598;3,1;47,4;0,3661
2015-01-29;22:00:00;1;865;-200;1,7;561;103;1102;83;791;434;2,9;49;0,3725
2015-01-29;23:00:00;1;867;-200;1,6;553;91;1136;73;792;412;2,8;49,1;0,3726
2015-01-30;00:00:00;1,1;900;-200;2,3;604;119;1051;92;815;469;2,9;49,7;0,3782
2015-01-30;01:00:00;1,3;901;-200;2,2;599;147;1023;109;825;515;3,8;46,5;0,3762
