"Date";"Mean daily saugeen River flows, Jan 01, 1915 to Dec 31, 1979"
"1979-11-30";24.1
"1979-12-01";24.2
"1979-12-02";22.5
"1979-12-03";20.9
"1979-12-04";20.6
"1979-12-05";21.6
"1979-12-06";22.5
"1979-12-07";22.7
"1979-12-08";24.9
"1979-12-09";38.6
"1979-12-10";81.6
"1979-12-11";107.0
"1979-12-12";96.3
"1979-12-13";81.4
"1979-12-14";68.9
"1979-12-15";61.1
"1979-12-16";51.9
"1979-12-17";40.4
"1979-12-18";37.0
"1979-12-19";33.5
"1979-12-20";32.0
"1979-12-21";30.0
"1979-12-22";31.0
"1979-12-23";33.0
"1979-12-24";34.0
"1979-12-25";38.0
"1979-12-26";36.0
"1979-12-27";34.0
"1979-12-28";45.0
"1979-12-29";55.0
"1979-12-30";44.0
"1979-12-31";38.0
"1980-01-01";34.0
"1980-01-02";26.5
"1980-01-03";24.5
"1980-01-04";24.3
"1980-01-05";24.0
"1980-01-06";24.4
"1980-01-07";26.9
"1980-01-08";42.1
"1980-01-09";78.8
"1980-01-10";158.0
"1980-01-11";187.0
"1980-01-12";121.0
"1980-01-13";79.9
"1980-01-14";59.5
"1980-01-15";49.3
"1980-01-16";44.0
